;;;
;Остатки на складах АСТАРИ;;на 25.04.2024
;KTY-80D;Мотопомпа дизельная KTY-80 D;наличие уточняйте
;KTY-100D;Мотопомпа дизельная KTY-100 D;наличие уточняйте
;МОТОПОМПЫ DAISHIN(Япония);;
;PTG208;Мотопомпа бензиновая Daishin PTG 208;наличие уточняйте
;PTG208H;Мотопомпа бензиновая Daishin PTG 208 H;++
;PTG208T;Мотопомпа бензиновая Daishin PTG 208 T;наличие уточняйте
;PTG208ST;Мотопомпа бензиновая Daishin PTG 208ST;наличие уточняйте
;PTG307;Мотопомпа бензиновая Daishin PTG 307;наличие уточняйте
;PTG307ST;Мотопомпа бензиновая Daishin PTG 307 ST;наличие уточняйте
;PTX301T;Мотопомпа бензиновая Daishin PTX 301 T;+
;PTX401;Мотопомпа бензиновая Daishin PTX 401;наличие уточняйте
;PTX401T;Мотопомпа бензиновая Daishin PTX 401 T;наличие уточняйте
;SCH-5050HX;Мотопомпа бензиновая Daishin SCH-5050 HX;наличие уточняйте
;SCR-100HX;Мотопомпа бензиновая Daishin SCR-100 HX;наличие уточняйте
;SCR-254HX;Мотопомпа бензиновая Daishin SCR-254 HX;наличие уточняйте
;SCR-50HXДУМ;Мотопомпа бензиновая Daishin SCR-50 HX (двигатель Honda GX120);наличие уточняйте
;SCR-50HX;Мотопомпа бензиновая Daishin SCR-50 HX (двигатель Honda GX160);наличие уточняйте
;SCR-80HX;Мотопомпа бензиновая Daishin SCR-80 HX;наличие уточняйте
;SST-50HX;Мотопомпа бензиновая Daishin SST-50 HX;наличие уточняйте
;SST-80HX;Мотопомпа бензиновая Daishin SST-80 HX;наличие уточняйте
;SWT-100HX;Мотопомпа бензиновая Daishin SWT-100 HX;наличие уточняйте
;SWT-50HX;Мотопомпа бензиновая Daishin SWT-50 HX;наличие уточняйте
;SWT-80HX;Мотопомпа бензиновая Daishin SWT-80 HX;наличие уточняйте
;PTD206T;Мотопомпа дизельная Daishin PTD 206 T;наличие уточняйте
;PTD306;Мотопомпа дизельная Daishin PTD 306;наличие уточняйте
;PTD306T;Мотопомпа дизельная Daishin PTD 306 T;наличие уточняйте
;PTD406;Мотопомпа дизельная Daishin PTD 406;наличие уточняйте
;PTD406T;Мотопомпа дизельная Daishin PTD 406 T;наличие уточняйте
;PTD206-Y;Мотопомпа дизельная Daishin PTD206-Y;наличие уточняйте
;PTD206ST-Y;Мотопомпа дизельная Daishin PTD206ST-Y;наличие уточняйте
